NOM,PRENOM,id,name,description,link,pstrN,pstrNF,pstrNH,pstrVisages,pstrContact,txtMarr,txtCheat,txtDivorce,txtRelAvant,txtRelPendant,love
ALAOUI BOUHAMID,Sara,1294927,Stone Age Stunts,"A cave man gets up in the morning to walk around hitting things with his club. After knocking a huge dinosaur out cold, he uses the stiff dino's body as a saw, using the spiny back bones as the saw's teeth. He battles another Neanderthal for the prize of a pretty cave girl, but she uses a club on him after he wins.",https://a.ltrbxd.com/resized/film-poster/3/5/6/1/9/4/356194-stone-age-stunts-0-230-0-345-crop.jpg?v=3c1224878e,2,2,0,0,0,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1393413,Anarkali,"Prince Salim, son of Akbar falls in love with Anarkali. Akbar forbids Salim to prolong this affair as he wanted his son to marry a Rajput princess and thereby strengthen communal harmony.",https://a.ltrbxd.com/resized/film-poster/3/7/3/3/0/3/373303-anarkali-0-230-0-345-crop.jpg?v=b5498a79a7,1,1,0,0,0,1,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1274166,Człowiek z M-3,"A young doctor receives an allotment for a state-owned M-3 type flat, but to his disfortune only married couples have a right to an M-3, so he begins a frantic search for a wife.",https://a.ltrbxd.com/resized/film-poster/1/4/9/8/2/0/149820-czlowiek-z-m-3-0-230-0-345-crop.jpg?v=ac045f6582,0,0,0,0,0,1,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1013754,The Shape of Things,"Quiet, unassuming Adam is changing in a major way, thanks to his new girlfriend, art student Evelyn. Adam's friends are a little freaked by the transformation.",https://a.ltrbxd.com/resized/film-poster/3/7/6/0/3/37603-the-shape-of-things-0-230-0-345-crop.jpg?v=ea2ef44df4,2,1,1,0,1,0,0,0,1,0,1
ALAOUI BOUHAMID,Sara,1041125,Love and Bullets,"A Camorra boss fakes his own death in order to start a new life elsewhere with his family, but a nurse happens to see him alive and well after the funeral. A hitman is promptly sent to get rid of her, only to find out that she's his first and unforgotten love. He decides to protect her, becoming himself a target.",https://a.ltrbxd.com/resized/film-poster/3/9/9/7/7/8/399778-love-and-bullets-0-230-0-345-crop.jpg?v=0ff44c0898,2,1,1,0,1,0,0,0,0,1,1
ALAOUI BOUHAMID,Sara,1404376,Doo Wop,"Ziggy is a freedom loving Parisian often in debts and usually misunderstood by fellow citizens. Though there's a pretty unique karma he has it when seducing girls due to his carelessness. But on the contrary all the girls disappear after moments spending with him, realizing he's still waiting for ""Coppola"" to come back to Paris.",https://a.ltrbxd.com/resized/film-poster/4/6/3/7/0/4/463704-doo-wop-0-230-0-345-crop.jpg?v=b84d20debe,6,2,4,1,0,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1200219,Mapla Singam,Youngsters belonging to two rival factions in a village fall in love with each other. Will this romance add fuel to the enmity or result in peace?,https://a.ltrbxd.com/resized/film-poster/2/7/5/9/3/0/275930-mapla-singam-0-230-0-345-crop.jpg?v=81c77edd44,2,0,2,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1396954,A Change of Heart,"Jean-Pierre is a brilliant surgeon. The problems of his nearest and dearest don't interest him. But when he discovers that he too has a serious heart disease which needs operating on, Jean-Pierre finds out what it is to be a patient.",https://a.ltrbxd.com/resized/film-poster/5/2/1/8/1/0/521810-a-change-of-heart-0-230-0-345-crop.jpg?v=bd90d2793f,2,1,1,0,0,0,0,0,0,0,2
ALAOUI BOUHAMID,Sara,1258152,Your Neighbour's Wife,"Two lovers meet again in strange circumstances, when she is a recent widow not particularly grieving, and he is a divorcée mourning his daughter. They reunite, only to break again - this time for good.",https://a.ltrbxd.com/resized/film-poster/3/0/3/5/4/8/303548-your-neighbour-s-wife-0-230-0-345-crop.jpg?v=cb6dd60f14,5,2,3,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1317577,The Other Lover,"A novelist (Jack Scalia) enters into a complicated affair with a doctor's wife (Lindsay Wagner), who happens to be his publishing company's marketing director and a mother of two.",https://a.ltrbxd.com/resized/film-poster/2/3/0/1/7/7/230177-the-other-lover-0-230-0-345-crop.jpg?v=21e904869f,2,1,1,0,1,0,0,0,0,1,2
