sentence,txtCheat,cheat,cheating,betray,betrayal,lie,lying,affair,unfaithful,infidelity,deception,dishonesty,adultery,trust,secrets,manipulation,hidden,suspicion,guilt
"A cave man gets up in the morning to walk around hitting things with his club. After knocking a huge dinosaur out cold, he uses the stiff dino's body as a saw, using the spiny back bones as the saw's teeth. He battles another Neanderthal for the prize of a pretty cave girl, but she uses a club on him after he wins.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prince Salim, son of Akbar falls in love with Anarkali. Akbar forbids Salim to prolong this affair as he wanted his son to marry a Rajput princess and thereby strengthen communal harmony.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A young doctor receives an allotment for a state-owned M-3 type flat, but to his disfortune only married couples have a right to an M-3, so he begins a frantic search for a wife.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quiet, unassuming Adam is changing in a major way, thanks to his new girlfriend, art student Evelyn. Adam's friends are a little freaked by the transformation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Camorra boss fakes his own death in order to start a new life elsewhere with his family, but a nurse happens to see him alive and well after the funeral. A hitman is promptly sent to get rid of her, only to find out that she's his first and unforgotten love. He decides to protect her, becoming himself a target.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ziggy is a freedom loving Parisian often in debts and usually misunderstood by fellow citizens. Though there's a pretty unique karma he has it when seducing girls due to his carelessness. But on the contrary all the girls disappear after moments spending with him, realizing he's still waiting for ""Coppola"" to come back to Paris.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngsters belonging to two rival factions in a village fall in love with each other. Will this romance add fuel to the enmity or result in peace?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jean-Pierre is a brilliant surgeon. The problems of his nearest and dearest don't interest him. But when he discovers that he too has a serious heart disease which needs operating on, Jean-Pierre finds out what it is to be a patient.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two lovers meet again in strange circumstances, when she is a recent widow not particularly grieving, and he is a divorcée mourning his daughter. They reunite, only to break again - this time for good.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A novelist (Jack Scalia) enters into a complicated affair with a doctor's wife (Lindsay Wagner), who happens to be his publishing company's marketing director and a mother of two.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The daughter of a Kentucky colonel returns from her European finishing school to help prove his innocence as he is accused of killing a major with whom he had a feud over money.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The film is about parents who wanted to build the house and gather together with their children in the house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When Seth unknowingly interrupts Sammi's quiet holiday getaway at her family cabin, their hearts get more than they bargain for; The Christmas Cabin is a romantic comedy about finding unexpected love with a little help from the Christmas season.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kate Francis has been a loyal assistant at a Seattle newspaper for the past five years. When one of her story ideas finally gets accepted, the assignment takes her back to her charming hometown of Sunflower Valley.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A punk infused love story of two street skaters, August and Beto, and their last day on earth: they're gonna end it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A mad farmer falls in love with his pig and has mutant piglets with it. When the ""piglets"" prefer their mother over him, he hangs them all and the sow kills herself.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In order to secure money for the production of his first film, a young man asks help from a film producer. The producer, however, was involved with pornographic films, and now his main business is drug dealing. The young director will have to become a drug runner in order to get the money he needs for his film",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An awkward high school boy is forced to break out of his shell, when his elementary school nemesis moves back into town and tries to steal his girlfriend.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two friends, who aspire to take control of things in their locality, face a series of issues when they take up an assignment involving kidnapping a politician’s daughter.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It all begins at a party in Santiago, Chile, when a seemingly innocent gesture -- the offer of a ride home -- ends in a passionate night of lovemaking and intense conversation for young singles Bruno and Daniela. Shacked up at a flea-bitten motel for a one-night stand, the pair lingers deep into the night, alternating between powerful physical encounters and an ever-deepening emotional connection.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bernie works at a Las Vegas casino, where he uses his innate ability to bring about misfortune in those around him to jinx gamblers into losing. His imposing boss, Shelly Kaplow, is happy with the arrangement. But Bernie finds unexpected happiness when he begins dating attractive waitress Natalie Belisario.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A young factory worker forever dreams in colour of escape from a black-and-white world, where one’s every thought is on display. Until she meets someone who dreams in colour too…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salaryman Ayumu Koiwai just can't tear his eyes away from the strong, muscular man as he checks on the stocks of the vending machine in his office. He may be a proper adult now, but everything about the emotions Yamashita awakens in him feels like a teenager's first love...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This film is about true friendship like one of the most beautiful qualities of true friendship is to understand and be understood. A real friend is one who walks in when the rest of the world walks out. Friends are the siblings God never gave us. A friend is someone who knows all about you and still loves you. This is the debutant directorial of Saalim Siddiqui and he tried to give his best in this first short film. ""Tu jo mila"" is the first short film of actor/model Daniel K & Rishabh GuptaThanks to the Smt Neelam Aggarwal for her support and guest appearance for this beautiful short film.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The story is narrated by ten-year old Staszek, who writes in his diary about his school-friend Jozef. Jozef comes from a family of blacksmiths, all of whom bear the name Jozef. Since he is the sixth consecutive son to be called Jozef, he is nicknamed Szustek (meaning ""sixth one"").",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Many myths, stories and traditions are associated with the lime tree, going back to the Middle Ages, Celtic times and as far back as Ancient Greece. In Russia, the story goes, that on discovering his lover's infidelity, landowner Pavel Kazantsev was so heartbroken that he could not forgive Anastasia's disloyalty and buried her alive. He planted a lime tree to mark the spot where she lay, and years later villagers still go to the tree to ask Anastasia for help, particularly in affairs of the heart. Marina is the wife of a successful businessman also coincidentally called Pavel Kazantsev. One day, after a family quarrel, Pavel takes Marina to their country house where she discovers that Oleg has a lover - Anastasia. Marina soon learns about the legend of Anastasia's tree from the local villagers. The coincidence with names is disturbing, but a worse discovery is still to come.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Originally banned in 1966, East German director Jürgen Böttcher's tale of love and disillusionment among two newlyweds attempting to navigate the treacherous world of marriage was never officially released in his homeland until after reunification in 1990.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex feels atracted to Samuel, and even though his best friend warns him he has a girlfriend, something makes him think he is not that indifferent.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"London publicist Helen, effortlessly slides between parallel storylines that show what happens when she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shawn Yue and Miriam Yeung reprise their popular roles as a star-crossed couple who strive to stay together happily ever after, only to find their already precarious relationship further strained, when Jimmy’s childhood friend asks him to donate sperm, and Cherie is troubled by the re-marriage of her father.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terry O'Rourke, an American operating a small airline in Canada, is having a tough time making a go of it; he has to cope with unfavorable weather conditions, a rocky terrain, and a large Americam company determined to buy him out at their low price. In addition, one of his primary employees is working against him. One of his airplanes is transporting a cargo of gold and the pilot arranges for the gold to be stolen. He planned to parachute to safety, letting the airplane be looted when it crashed, but a co-worker cuts his parachute cord and he is killed. O'Rourke, with the air of one of his best pilots, Kay Cameron, sets out to track down the culprits.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A married couple with hearing impairment undergoes highs and lows in their lives as they endeavour to survive in a society which is not very friendly to them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marina di Malombra (Borelli) lives in a castle prior to her wedding. She begins to read letters written by an ancestor called Cecilia. She finds out that Cecilia was driven to her death by her uncle. Marina identifies with Cecilia and take revenge on her behalf by murdering her uncle.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anand is a motocycle champion for six years in a row. Winning the championship brings him the introduction of Uma, the daughter of Thilakavathy - a haughty, rich woman. Uma thinks Anand has a too dark complexion, but soon it turns into love. However, Thilakavathy deceives Anand and Uma into thinking that she agrees to their wedding while secretly planning to get Uma married to someone else. What transpires later forms the crux of the story.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curmudgeonly author Giles De'Ath, a widower with a marked distaste for modern popular culture, attempts to buy a ticket for a film adaptation of an E.M. Forster novel, but instead finds himself watching a tacky teen sex comedy. Yet when the beautiful Ronnie Bostock appears on the movie screen, Giles finds himself caught in a whirlwind of unanswered questions about both his own sexuality and his place in late 20th-century society.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suddenly the apartments house looses light on a New Year eve... This brings the perfect opportunity to all the neighbors to meet each other.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A school janitor pretends to be a priest in order to give private lessons to a young top model.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A New Year 2000 evening become vey strange for one family - thanks to the grandma.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A slick caper movie about a petty thief falls for a wealthy American artist.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"She loved her sons more than anything in the world and did everything in her power to put them on their feet. Is it possible to understand why she kicked one of them out? Why did he leave, who knows? Because it was a shame, my heart was torn apart or because I was young? Then Sasha was 16. For twenty years, Alexander has achieved success, he is selflessly passionate about children's theater. His woman is a flamenco dancer. The money for the apartment has been collected, and life promises to get better...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In-gi had to abandon his dreams of becoming a serious director in order to pay off his parents' debts so to make quick money, he began to direct soft porn movies. But his dream of making a masterpiece has not died yet.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maasilamani falls in love with a woman, Divya, who dislikes him. Trouble ensues when he concocts an elaborate story about his lookalike to win her heart.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A student and his love for a young woman, misunderstood by her father.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alonzo, a hopeless romantic, humorously attempts to win the affection of a very imaginative mime in this mixed media short film.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke, a GP is about to get married to vivacious Katherine. On the surface everything is perfect, but as the wedding preparations intensify Luke is plagued by nightmares that throw him into chaos. Unable to sleep he visits a hypnotherapist. They travel down deep into Luke's subconscious mind and a mysterious world of forests, witches and fire is revealed. He attempts to reach out to Katherine but she is lost in the fever of the preparations and is blind to his disquiet. In the midst of this chaos, Amelia enters his life, she seem so familiar and something deep in him unravels",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A man suspects his girlfriend of being unfaithful, so he sends her a letter, but then finds out that he was wrong. He has 24 hours to stop the package, prevent a disaster, and fall in love. The only problem is the delivery man will not stop until the package has been delivered.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two teenagers, Anne and Dante, try to reconnect after hooking up.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"She wants a divorce, a cleaning prior to death - but he refuses. Here’s an old couple that can’t stand each other, other than as memories. The film is based on a radio play script.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"What you see, isn’t always what you  get in this Barbie and Ken Doll stop motion celebration of sex and surprise. Also starring Marie Osmond, The Bionic Woman, and The Lone Ranger.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An exploration of the impact of schizophrenia on a young woman and her family in today's Calcutta. The narrative pivots around the relationship of two sisters, older sister Anjali is a successful professor with a powerful personality. She is the anchoring rock for her family and carer for her sister Meethi whose progression into schizophrenia has been speed ed up by traumatic experiences. Anjali has always dominated the life of her attractive younger sister, and jealously warded off Meethi's handsome fiancé Jojo with fear of Meethi's impending illness. Years later when Meethi and Anjali are on holiday in the Hills there is a chance meeting with Jojo, now with his new wife and children. He is shocked to discover that Meethi does not now recognize him, but lives in a world visited by an imaginary husband and children of her own.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dracula and Renefield relocate to 70's era New York in search of Cindy Sondheim, the reincarnation of Dracula's one true love, Mina Harker. ""Trouble adjusting"" is a wild understatement for the Count as he battles Cindy's psychiatrist, Jeffrey Rosenberg, a descendant of Van Helsing, who may almost certainly, possibly, may be in love with Cindy too.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isla, a island maiden who has all the males, including her father, lusting after her. Her dream was to leave her primitive surroundings and find another life in the big city. However, it would not be easy. To be able to escape, she must use her body to pay off all the men who would help her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shruti and Bittoo decide to start a wedding planning company together after they graduate from university, but romance gets in the way of business.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
